date,home_team_api_id,away_team_api_id,outcome
2010-10-03,9985,8635,H
2010-10-02,9997,10001,A
2010-10-02,10000,9986,D
2010-10-02,9994,9993,H
2010-10-02,8571,6351,H
2010-10-01,8203,9987,D
2010-10-02,9989,9984,A
2010-10-16,9991,8571,H
2010-10-17,9987,9985,H
2010-10-16,9993,9989,D
2010-10-15,10000,8342,A
2010-10-16,9986,9994,A
2010-10-16,6351,9997,H
2010-10-16,10001,8203,D
2010-10-17,9984,8635,H
2010-10-24,8635,10001,H
2010-10-24,9985,9991,H
2010-10-23,9997,9986,H
2010-10-24,9994,8342,H
2010-10-22,8571,9987,H
2010-10-23,8203,9993,H
2010-10-23,9989,10000,D
2010-10-23,9984,6351,H
2010-10-31,8342,9985,D
2010-10-30,9991,8203,H
2010-10-31,9987,8635,A
2010-10-30,9993,9997,D
2010-10-30,10000,9994,D
2010-10-29,9986,8571,D
2010-10-30,6351,9989,D
2010-10-30,10001,9984,H
2010-11-07,8635,8342,D
2010-11-06,9985,6351,A
2010-11-06,9997,10000,A
2010-11-06,8571,9993,H
2010-11-06,8203,9986,H
2010-11-06,9989,9994,D
2010-11-05,10001,9987,D
2010-11-07,9984,9991,A
2010-11-13,8342,9989,H
2010-11-14,9991,8635,A
2010-11-13,9987,9984,H
2010-11-13,9993,9985,A
2010-11-14,10000,8571,D
2010-11-13,9986,10001,A
2010-11-13,9994,9997,H
2011-01-18,6351,8203,A
2010-11-21,8342,9984,A
2010-11-20,9991,10001,D
2010-11-20,9993,8635,A
2010-11-21,10000,9985,H
2010-11-20,9986,9987,A
2010-11-20,9994,8203,H
2010-11-20,9989,9997,A
2010-11-20,6351,8571,H
2010-11-27,8635,9986,H
2010-11-27,9985,9989,H
2010-11-26,9987,9991,A
2010-11-28,9997,8342,H
2011-01-18,8571,9994,D
2010-11-28,8203,10000,D
2010-11-27,10001,6351,D
2010-11-27,9984,9993,D
2010-12-05,8342,10001,H
2010-12-05,9993,9987,A
2010-12-04,9997,8571,H
2010-12-05,10000,8635,A
2011-03-23,9986,9984,A
2010-12-03,9994,9985,H
2011-02-15,9989,8203,H
2010-12-04,6351,9991,A
2010-12-12,8635,9994,D
2010-12-11,9985,9997,H
2010-12-11,9991,9986,H
2010-12-11,9987,6351,H
2010-12-12,8571,9989,H
2010-12-10,8203,8342,A
2010-12-11,10001,9993,D
2010-12-11,9984,10000,A
2010-08-07,8342,9997,H
2010-08-08,9991,9987,A
2010-08-08,9993,9984,D
2010-08-07,10000,8203,A
2010-08-07,9986,8635,D
2010-08-07,9994,8571,D
2010-08-06,9989,9985,A
2010-08-07,6351,10001,A
2010-12-19,8342,8635,A
2011-02-16,9993,9991,D
2011-02-23,9997,8203,A
2010-12-18,10000,10001,H
2011-02-02,9994,9984,H
2010-12-17,8571,9985,H
2010-12-18,9989,9987,D
2010-12-18,6351,9986,H
2010-12-26,8635,9989,H
2010-12-26,9991,8342,A
2011-02-02,9987,9997,D
2011-02-02,9986,9993,H
2011-02-02,8203,8571,H
